Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,name_no_num,code,row_num,definition
Speedway 9451,-85.496101,38.272495,2400 Terra Crossing Blvd,NA,Louisville,KY,40245,5370,JEFFERSON,SPEEDWAY,445120,3,Convenience Store
Aldi 41,-85.556084,38.295116,10620 Westport Rd,NA,Louisville,KY,40241,1959,JEFFERSON,ALDI,445110,1,Grocery
Jay's Food Mart,-85.660553,38.164375,5370 Rangeland Rd,NA,Louisville,KY,40219,5422,JEFFERSON,JAYS FOOD MART,445120,3,Convenience Store
Smoketown Neighborhood Fresh Stop,-85.743881,38.240246,610 E Breckinridge St,NA,Louisville,KY,40203,2587,JEFFERSON,SMOKETOWN NEIGHBORHOOD FRESH STOP,445200,5,Specialized Lines of Food
Fish N More,-85.786995,38.258564,2200 W Market St,NA,Louisville,KY,40212,1535,JEFFERSON,FISH N MORE,445200,5,Specialized Lines of Food
Papa Murphys Take And Bake Pizza 040,-85.763893,38.205227,3024 S 3rd St,NA,Louisville,KY,40208,1417,JEFFERSON,PAPA MURPHYS TAKE AND BAKE PIZZA,447110,4,Food Mart
Big Lots 175,-85.604027,38.168221,5318 Bardstown Rd,NA,Louisville,KY,40291,1931,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Big Lots 226,-85.64608,38.252167,4121 Shelbyville Rd,NA,Louisville,KY,40207,NA,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Big Lots 1686,-85.699295,38.161049,6201 Preston Hwy,NA,Louisville,KY,40219,NA,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Big Lots 1750,-85.853256,38.124168,9070 Dixie Hwy,NA,Louisville,KY,40258,NA,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Big Lots 1311,-85.628181,38.219921,3938 Taylorsville Rd,NA,Louisville,KY,40220,1450,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Parkland Neighborhood Fresh Stop,-85.796356,38.237747,2600 Virginia Ave,NA,Louisville,KY,40211,3415,JEFFERSON,PARKLAND NEIGHBORHOOD FRESH STOP,445110,1,Grocery
Speedy Mart,-85.764961,38.210388,401 Winkler Ave,NA,Louisville,KY,40208,1549,JEFFERSON,SPEEDY MART,445120,3,Convenience Store
Speedway 9606,-85.561485,38.315762,10009 Brownsboro Rd,NA,Louisville,KY,40241,1101,JEFFERSON,SPEEDWAY,445120,3,Convenience Store
Bluegrass Farmers Market,-85.793846,38.179379,1850 Bluegrass Ave,NA,Louisville,KY,40215,NA,JEFFERSON,BLUEGRASS FARMERS MARKET,445200,5,Specialized Lines of Food
Market Zone 2,-85.793694,38.259968,118 S 26th St,NA,Louisville,KY,40212,1500,JEFFERSON,MARKET ZONE,445120,3,Convenience Store
7th St Food Mart,-85.783165,38.214577,2517 7th St,NA,Louisville,KY,40208,NA,JEFFERSON,TH ST FOOD MART,445120,3,Convenience Store
Big Lots 346,-85.775139,38.145031,5518 New Cut Rd,NA,Louisville,KY,40214,4330,JEFFERSON,BIG LOTS,445120,3,Convenience Store
Key Market,-85.645393,38.112347,9409 Smyrna Pkwy,NA,Louisville,KY,40229,1419,JEFFERSON,KEY MARKET,445110,1,Grocery
Ace Smoke Shop,-85.840843,38.196575,4443 Cane Run Rd,Ste 210,Louisville,KY,40216,4596,JEFFERSON,ACE SMOKE SHOP,445120,3,Convenience Store
Dixie Food Market,-85.78952,38.230831,1420 Dixie Hwy,NA,Louisville,KY,40210,1710,JEFFERSON,DIXIE FOOD MARKET,445120,3,Convenience Store
Jasmin Bakery,-85.656921,38.197544,2205 Steier Ln,NA,Louisville,KY,40218,1544,JEFFERSON,JASMIN BAKERY,447110,4,Food Mart
Cedar Creek Corner Store,-85.623833,38.083107,7519 Mount Washington Rd,NA,Louisville,KY,40229,2435,JEFFERSON,CEDAR CREEK CORNER STORE,445120,3,Convenience Store
Discount Cigarette And Liquor Outlet 2,-85.837646,38.112061,9833 3rd Street Rd,NA,Louisville,KY,40272,2868,JEFFERSON,DISCOUNT CIGARETTE AND LIQUOR OUTLET,445120,3,Convenience Store
Discount Cigarette And Liquor Outlet 2,-85.837646,38.112061,9833 3rd Street Rd,NA,Louisville,KY,40272,2868,JEFFERSON,DISCOUNT CIGARETTE AND LIQUOR OUTLET,447110,4,Food Mart
Satnam Llc,-85.5382,38.300396,11401 Westport Rd,NA,Louisville,KY,40241,3808,JEFFERSON,SATNAM LLC,447110,4,Food Mart
Dollar General 15669,-85.786751,38.237335,1201 Dixie Hwy,NA,Louisville,KY,40210,1405,JEFFERSON,DOLLAR GENERAL,447110,4,Food Mart
Dollar General 15669,-85.786751,38.237335,1201 Dixie Hwy,NA,Louisville,KY,40210,1405,JEFFERSON,DOLLAR GENERAL,445120,3,Convenience Store
Dina Llc Dba Dino's Food Mart,-85.795372,38.249527,2601 W Broadway,NA,Louisville,KY,40211,1332,JEFFERSON,DINA LLC DBA DINOS FOOD MART,445120,3,Convenience Store
West Market Food Mart,-85.815941,38.262608,4015 W Market St,NA,Louisville,KY,40212,2540,JEFFERSON,WEST MARKET FOOD MART,445120,3,Convenience Store
Zayed Llc Dba Expressway Mart,-85.776093,38.24818,1420 W Broadway,NA,Louisville,KY,40203,2060,JEFFERSON,ZAYED LLC DBA EXPRESSWAY MART,445120,3,Convenience Store
Garland Food Market,-85.795578,38.244614,2600 Garland Ave,NA,Louisville,KY,40211,1208,JEFFERSON,GARLAND FOOD MARKET,445120,3,Convenience Store
Dollar General 15707,-85.890137,38.05669,13725 Dixie Hwy,NA,Louisville,KY,40272,1357,JEFFERSON,DOLLAR GENERAL,447110,4,Food Mart
Dollar General 15707,-85.890137,38.05669,13725 Dixie Hwy,NA,Louisville,KY,40272,1357,JEFFERSON,DOLLAR GENERAL,445120,3,Convenience Store
Kentucky Food Max,-85.740456,38.236855,800 E Kentucky St,NA,Louisville,KY,40204,1824,JEFFERSON,KENTUCKY FOOD MAX,445110,1,Grocery
Hunter's Market,-85.87072,38.167274,6303 Lower Hunters Trce,NA,Louisville,KY,40258,3207,JEFFERSON,HUNTERS MARKET,445120,3,Convenience Store
Coco's Cakes,-85.762093,38.235222,501 W Oak St,NA,Louisville,KY,40203,3007,JEFFERSON,COCOS CAKES,447110,4,Food Mart
A&A Food Mart LLC,-85.817596,38.173428,1629 Gagel Ave,NA,Louisville,KY,40216,2735,JEFFERSON,AA FOOD MART LLC,445120,3,Convenience Store
B Quick,-85.836685,38.167706,2119 Upper Hunters Trce,NA,Louisville,KY,40216,1743,JEFFERSON,B QUICK,445120,3,Convenience Store
Tienda Catrachos LLC 1,-85.765068,38.156296,414 E Kenwood Dr,NA,Louisville,KY,40214,3604,JEFFERSON,TIENDA CATRACHOS LLC,447110,4,Food Mart
Indian Trail Save-A-Lot,-85.703339,38.165745,5747 Preston Hwy,NA,Louisville,KY,40219,9802,JEFFERSON,INDIAN TRAIL SAVEALOT,445120,3,Convenience Store
Circle K 3363,-85.524261,38.187077,12415 Taylorsville Rd,NA,Louisville,KY,40299,4430,JEFFERSON,CIRCLE K,445120,3,Convenience Store
MOES,-85.795769,38.241474,1029 S 26th St,NA,Louisville,KY,40210,1103,JEFFERSON,MOES,445120,3,Convenience Store
Thorntons 163,-85.66935,38.208939,3255 Bardstown Rd,NA,Louisville,KY,40205,3099,JEFFERSON,THORNTONS,445120,3,Convenience Store
Minit Mar 683,-85.75132,38.236042,1123 S Floyd St,NA,Louisville,KY,40203,2719,JEFFERSON,MINIT MAR,445120,3,Convenience Store
S A Bakery And Market,-85.755714,38.164654,6305 Strawberry Ln,NA,Louisville,KY,40214,2930,JEFFERSON,S A BAKERY AND MARKET,447110,4,Food Mart
Family Dollar Store 11504,-85.772705,38.247684,1234 W Broadway,NA,Louisville,KY,40203,2062,JEFFERSON,FAMILY DOLLAR STORE,445120,3,Convenience Store
Las Americas Mexican Store,-85.639565,38.209972,3719 Klondike Ln,NA,Louisville,KY,40218,1768,JEFFERSON,LAS AMERICAS MEXICAN STORE,447110,4,Food Mart
